Designator,Footprint,Quantity,Value,LCSC Part #
"J1, J2, J3, J4, J5, J6",PinHeader_1x04_P2.00mm_Horizontal,6,Conn_01x04,
J7,PinHeader_1x11_P2.54mm_Vertical,1,Conn_01x11,
